phase,assembly,item,manufacturer,part_number,qty,status,custom,critical_spec,source_url,note
G1,Adhesive,Extended-wear skin tape,Solventum,Medical Tape 4077,1 roll/sample,RFQ/sample,no,"Approximately 0.32 mm backing+adhesive; die-cut 54 mm OD / 34 mm ID skirt",https://www.solventum.com/en-us/home/f/b5005097120/,"Supplier data are not device clearance"
G1,Cover,Transparent dressing,Solventum,Tegaderm 1624W or converted OEM equivalent,as needed,catalog,no,"Prototype cover only",https://www.solventum.com/,"Final converter construction must be frozen"
CHEM,Common,EDOT monomer,MilliporeSigma,483028,1,catalog,no,"PEDOT electropolymerization reagent",https://www.sigmaaldrich.com/US/en/product/aldrich/483028,"Use source-paper concentration/process"
CHEM,Common,Poly(sodium 4-styrenesulfonate),MilliporeSigma,243051,1,catalog,no,"PSS for PEDOT:PSS process",https://www.sigmaaldrich.com/US/en/product/aldrich/243051,"Lot and molecular weight recorded"
CHEM,Enzyme,Glucose oxidase,MilliporeSigma,G7141,1,catalog,no,"Aspergillus niger GOx",https://www.sigmaaldrich.com/US/en/product/sigma/g7141,"Activity units and lot enter calibration record"
CHEM,Enzyme,Lactate oxidase,MilliporeSigma,L9795,1,catalog,no,"Lactate channel",https://www.sigmaaldrich.com/US/en/product/sigma/l9795,"Activity units and lot enter calibration record"
CHEM,Enzyme,3-hydroxybutyrate dehydrogenase,MilliporeSigma / Megazyme,HBDH grade to freeze,1,verify-lot,no,"NAD-dependent BHB enzyme",https://www.sigmaaldrich.com/US/en/search/3-hydroxybutyrate-dehydrogenase,"Activity and source organism must be frozen before recipe lock"
CHEM,Enzyme,NAD+ cofactor,MilliporeSigma,N0632,1,catalog,no,"BHB cofactor",https://www.sigmaaldrich.com/US/en/product/sigma/n0632,"Consumable/leachable component; drift gate required"
CHEM,Enzyme,Toluidine Blue O,MilliporeSigma,198161,1,catalog,no,"0.2 mM poly-TBO starting process from 2024 paper",https://www.sigmaaldrich.com/US/en/product/sial/198161,"Electropolymerization process verified on witness electrodes"
CHEM,Enzyme,Carboxylated MWCNT,Cheap Tubes,COOH-MWCNT grade to freeze,1,verify-lot,no,">95% starting requirement",https://www.cheaptubes.com/,"Length diameter and COOH content enter material spec"
CHEM,Enzyme,Chitosan,MilliporeSigma,448877 or validated equivalent,1,catalog,no,"Medium molecular weight starting grade",https://www.sigmaaldrich.com/US/en/product/aldrich/448877,"Degree of deacetylation and viscosity recorded"
CHEM,Enzyme,Polyvinyl chloride,MilliporeSigma,81387,1,catalog,no,"High molecular weight protective/membrane polymer",https://www.sigmaaldrich.com/US/en/product/aldrich/81387,"Do not conflate BHB outer PVC with ISE membrane formulation"
CHEM,Enzyme,PEG diglycidyl ether,MilliporeSigma,475696 or validated equivalent,1,catalog,no,"1% starting crosslink layer in eMPatch enzyme route",https://www.sigmaaldrich.com/,"Crosslinker exposure and residuals require control"
CHEM,Enzyme,Prussian Blue reagents,MilliporeSigma,"FeCl3 + K3Fe(CN)6 + KCl + HCl",1 set,catalog,no,"2.5 mM/2.5 mM/0.1 M/0.1 M source-paper bath",https://www.sigmaaldrich.com/,"Fresh bath; hazardous-chemical SOP applies"
CHEM,ISE,Sodium ionophore X,MilliporeSigma,71747,1,catalog,no,"1 mg per 100 mg membrane solids starting recipe",https://www.sigmaaldrich.com/US/en/product/sial/71747,"Source-paper formulation in build spec"
CHEM,ISE,Valinomycin,Cayman Chemical,10009152,1,catalog,no,"2 mg per 100 mg membrane solids starting recipe",https://www.caymanchem.com/product/10009152/valinomycin,"Toxic reagent; controlled laboratory use"
CHEM,ISE,Sodium tetrakis[3 5-bis(trifluoromethyl)phenyl]borate,MilliporeSigma,Na-TFPB grade to freeze,1,verify-lot,no,"0.55 mg per sodium membrane recipe",https://www.sigmaaldrich.com/,"Confirm salt identity against primary method"
CHEM,ISE,Sodium tetraphenylborate,MilliporeSigma,72020,1,catalog,no,"ACS reagent >=99.5%; 0.55 mg per potassium membrane recipe",https://www.sigmaaldrich.com/US/en/product/sial/72020,"Confirm against the transferred method lot"
CHEM,ISE,Bis(2-ethylhexyl) sebacate,MilliporeSigma,84818,1,catalog,no,"Selectophore DOS plasticizer; 65.45 mg per membrane recipe",https://www.sigmaaldrich.com/US/en/product/sial/84818,"Lot recorded"
CHEM,ISE,Tetrahydrofuran stabilized,MilliporeSigma,401757 or validated equivalent,1,catalog,no,"660 uL per membrane recipe",https://www.sigmaaldrich.com/,"Flammable process solvent; controlled hood use"
CHEM,pH,Aniline,MilliporeSigma,242284,1,catalog,no,"0.1 M in 0.1 M HCl starting bath",https://www.sigmaaldrich.com/US/en/product/sigald/242284,"PANI route from eMPatch"
VALIDATION,Matrix,Artificial ISF salts,Fisher Scientific / MilliporeSigma,"NaCl KCl CaCl2 MgCl2 HEPES and analyte standards",1 set,catalog,no,"Recipe and osmolality locked per study",https://pmc.ncbi.nlm.nih.gov/articles/PMC9280758/,"Record pH conductivity osmolality temperature and lot"
VALIDATION,Safety,Sharps and chemical safety supplies,qualified lab supplier,"sharps container PPE spill and hazardous-waste supplies",1 set,catalog,no,"Institutional EHS procedure",https://www.fishersci.com/,"Required before any needle or solvent process"
